product_id,store_id,date_id,on_hand_qty,reserved_qty,in_transit_qty,overstock_qty,understock_qty,stock_value,week_start_date,fill_rate_pct,stockout_pct,inventory_turnover,excess_inventory_pct,shipment_id,shipment_date,route_id,vehicle_id,planned_departure,actual_departure,delivery_time_mins,fuel_cost,route_efficiency_score,cluster_id,optimal_transfer_qty,cost_minimization_pct,service_level_gain_pct,model_confidence_score,model_version,recommendation_date,from_store_id,to_store_id,transfer_qty,transfer_cost,planned_ship_date,actual_delivery_date,
P_00473,S_0426,D_20250520,102,110,279,182,81,4883.61,12/11/2024,79.62,18.82,3.94,21.75,SH_000001,9/23/2025,R_00157,V_0177,6/24/2025,3/20/2025,729,392.73,0.868,C_012,128,36.05,15.31,0.539,v3.0,1/24/2025,S_0016,S_0077,365,2819.06,7/8/2025,7/31/2024,
P_00473,S_0426,D_20250520,102,110,279,182,81,4883.61,12/11/2024,79.62,18.82,3.94,21.75,SH_000001,9/23/2025,R_00157,V_0177,6/24/2025,3/20/2025,729,392.73,0.868,C_064,45,37.24,20.16,0.427,v2.7,8/22/2025,S_0016,S_0077,365,2819.06,7/8/2025,7/31/2024,
P_00473,S_0426,D_20250520,102,110,279,182,81,4883.61,12/11/2024,79.62,18.82,3.94,21.75,SH_000078,2/20/2025,R_00207,V_0053,5/12/2025,2/25/2025,68,352.86,0.197,C_012,128,36.05,15.31,0.539,v3.0,1/24/2025,S_0016,S_0077,365,2819.06,7/8/2025,7/31/2024,
P_00473,S_0426,D_20250520,102,110,279,182,81,4883.61,12/11/2024,79.62,18.82,3.94,21.75,SH_000078,2/20/2025,R_00207,V_0053,5/12/2025,2/25/2025,68,352.86,0.197,C_064,45,37.24,20.16,0.427,v2.7,8/22/2025,S_0016,S_0077,365,2819.06,7/8/2025,7/31/2024,
P_00473,S_0426,D_20250520,102,110,279,182,81,4883.61,2/22/2025,63.31,12.19,4.2,8.68,SH_000001,9/23/2025,R_00157,V_0177,6/24/2025,3/20/2025,729,392.73,0.868,C_012,128,36.05,15.31,0.539,v3.0,1/24/2025,S_0016,S_0077,365,2819.06,7/8/2025,7/31/2024,
P_00473,S_0426,D_20250520,102,110,279,182,81,4883.61,2/22/2025,63.31,12.19,4.2,8.68,SH_000001,9/23/2025,R_00157,V_0177,6/24/2025,3/20/2025,729,392.73,0.868,C_064,45,37.24,20.16,0.427,v2.7,8/22/2025,S_0016,S_0077,365,2819.06,7/8/2025,7/31/2024,
P_00473,S_0426,D_20250520,102,110,279,182,81,4883.61,2/22/2025,63.31,12.19,4.2,8.68,SH_000078,2/20/2025,R_00207,V_0053,5/12/2025,2/25/2025,68,352.86,0.197,C_012,128,36.05,15.31,0.539,v3.0,1/24/2025,S_0016,S_0077,365,2819.06,7/8/2025,7/31/2024,
P_00473,S_0426,D_20250520,102,110,279,182,81,4883.61,2/22/2025,63.31,12.19,4.2,8.68,SH_000078,2/20/2025,R_00207,V_0053,5/12/2025,2/25/2025,68,352.86,0.197,C_064,45,37.24,20.16,0.427,v2.7,8/22/2025,S_0016,S_0077,365,2819.06,7/8/2025,7/31/2024,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000002,3/22/2025,R_00063,V_0135,10/23/2025,10/16/2025,371,481.58,0.338,C_068,115,39.7,6.76,0.852,v3.0,10/4/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000002,3/22/2025,R_00063,V_0135,10/23/2025,10/16/2025,371,481.58,0.338,C_091,216,21.46,16.94,0.523,v2.5,10/13/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000002,3/22/2025,R_00063,V_0135,10/23/2025,10/16/2025,371,481.58,0.338,C_097,106,2.79,12.6,0.742,v2.4,10/18/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000133,10/22/2025,R_00181,V_0136,9/22/2025,11/15/2025,76,348.14,0.164,C_068,115,39.7,6.76,0.852,v3.0,10/4/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000133,10/22/2025,R_00181,V_0136,9/22/2025,11/15/2025,76,348.14,0.164,C_091,216,21.46,16.94,0.523,v2.5,10/13/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000133,10/22/2025,R_00181,V_0136,9/22/2025,11/15/2025,76,348.14,0.164,C_097,106,2.79,12.6,0.742,v2.4,10/18/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000211,4/4/2025,R_00212,V_0083,8/30/2024,5/30/2025,724,60.98,0.357,C_068,115,39.7,6.76,0.852,v3.0,10/4/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000211,4/4/2025,R_00212,V_0083,8/30/2024,5/30/2025,724,60.98,0.357,C_091,216,21.46,16.94,0.523,v2.5,10/13/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000211,4/4/2025,R_00212,V_0083,8/30/2024,5/30/2025,724,60.98,0.357,C_097,106,2.79,12.6,0.742,v2.4,10/18/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000359,10/11/2025,R_00209,V_0068,9/11/2024,7/16/2025,30,462.03,0.433,C_068,115,39.7,6.76,0.852,v3.0,10/4/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000359,10/11/2025,R_00209,V_0068,9/11/2024,7/16/2025,30,462.03,0.433,C_091,216,21.46,16.94,0.523,v2.5,10/13/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00376,S_0022,D_20251006,435,143,80,287,106,6306.79,0,0,0,0,0,SH_000359,10/11/2025,R_00209,V_0068,9/11/2024,7/16/2025,30,462.03,0.433,C_097,106,2.79,12.6,0.742,v2.4,10/18/2024,S_0409,S_0138,171,1107.81,10/9/2024,1/1/2025,
P_00314,S_0097,D_20251004,860,116,201,299,184,5195.35,0,0,0,0,0,SH_000003,11/26/2025,R_00288,V_0025,6/25/2025,10/21/2024,1072,67.69,0.568,C_049,192,22.21,2.2,0.814,v3.7,9/19/2024,S_0055,S_0179,79,1475.63,9/28/2024,8/12/2025,
P_00314,S_0097,D_20251004,860,116,201,299,184,5195.35,0,0,0,0,0,SH_000003,11/26/2025,R_00288,V_0025,6/25/2025,10/21/2024,1072,67.69,0.568,C_049,192,22.21,2.2,0.814,v3.7,9/19/2024,S_0328,S_0138,316,194.32,8/2/2025,10/28/2024,
P_00314,S_0097,D_20251004,860,116,201,299,184,5195.35,0,0,0,0,0,SH_000003,11/26/2025,R_00288,V_0025,6/25/2025,10/21/2024,1072,67.69,0.568,C_049,192,22.21,2.2,0.814,v3.7,9/19/2024,S_0179,S_0034,474,2737.84,11/25/2024,5/23/2025,
P_00314,S_0097,D_20251004,860,116,201,299,184,5195.35,0,0,0,0,0,SH_000024,10/3/2024,R_00244,V_0001,1/5/2025,5/25/2025,1061,39.15,0.674,C_049,192,22.21,2.2,0.814,v3.7,9/19/2024,S_0055,S_0179,79,1475.63,9/28/2024,8/12/2025,
P_00314,S_0097,D_20251004,860,116,201,299,184,5195.35,0,0,0,0,0,SH_000024,10/3/2024,R_00244,V_0001,1/5/2025,5/25/2025,1061,39.15,0.674,C_049,192,22.21,2.2,0.814,v3.7,9/19/2024,S_0328,S_0138,316,194.32,8/2/2025,10/28/2024,
